Meme Name,Primary Audience,Humor Style,Keywords
0 days without Lenny Simpsons,General Public,Sarcastic,"['failure', 'routine', 'Simpsons', 'Lenny', 'daily']"
1984,Professionals,Witty,"['dystopia', 'surveillance', 'Orwell', 'totalitarian', 'control']"
1984 Calendar,Young Adults,Relatable,"['time', 'year', 'calendar', 'past', 'nostalgia']"
20 minute adventure rick morty,Gen Z,Absurd,"['adventure', 'time limit', 'Rick and Morty', 'cartoon', 'sci-fi']"
2 nickels,General Public,Witty,"['money', 'comparison', 'value', 'coins', 'nickels']"
3D Nerd Emoji,Gen Z,Cringe,"['emoji', 'nerd', '3D', 'glasses', 'geek']"
3 Spiderman Pointing,Millennials,Relatable,"['Spiderman', 'pointing', 'blame', 'accusation', 'confusion']"
4 headed dragon,Gamers,Absurd,"['dragon', 'fantasy', 'heads', 'monster', 'threat']"
4 Spiderman pointing at each other,Gen Z,Relatable,"['Spiderman', 'pointing', 'confusion', 'blame', 'accusation']"
Aaaaand Its Gone,Young Adults,Sarcastic,"['disappearance', 'loss', 'quick', 'sudden', 'unexpected']"
Absolute Cinema,Professionals,Witty,"['cinema', 'movie', 'quality', 'art', 'appreciation']"
achievement unlocked,Gamers,Wholesome,"['achievement', 'success', 'unlock', 'game', 'reward']"
Adam Silver Get Ready To Learn Buddy,Sports Fans,Witty,"['learning', 'preparation', 'Adam Silver', 'advice', 'buddy']"
Afraid To Ask Andy,Millennials,Relatable,"['fear', 'question', 'curiosity', 'ignorance', 'awkward']"
After all why not,General Public,Sarcastic,"['decision', 'why not', 'risk', 'chance', 'doubt']"
AJ Styles Undertaker,Sports Fans,Witty,"['wrestling', 'AJ Styles', 'Undertaker', 'rivalry', 'match']"
albert einstein quotes,Students,Witty,"['Einstein', 'quotes', 'wisdom', 'science', 'inspiration']"
All My Homies Hate,Gen Z,Relatable,"['homies', 'hate', 'dislike', 'group', 'opinion']"
Always Has Been,Millennials,Sarcastic,"['discovery', 'revelation', 'truth', 'shock', 'realization']"
Always you three,Parents,Relatable,"['blame', 'trouble', 'group', 'accusation', 'mischief']"
Amateurs,Gamers,Sarcastic,"['superiority', 'mockery', 'competition', 'disbelief', 'smug']"
am I a joke to you,General Public,Sarcastic,"['disrespect', 'indignation', 'underestimation', 'irony', 'disbelief']"
Am I The Only One Around Here,Millennials,Relatable,"['frustration', 'uniqueness', 'exasperation', 'questioning', 'isolation']"
Ancient Aliens,General Public,Absurd,"['conspiracy', 'alien', 'mystery', 'extraterrestrial', 'theory']"
ANDY DROPPING WOODY,Parents,Witty,"['abandonment', 'priority shift', 'nostalgia', 'change', 'childhood']"
Andy Dwyer Excited,Young Adults,Wholesome,"['excitement', 'joy', 'surprise', 'happiness', 'anticipation']"
and everybody loses their minds,General Public,Sarcastic,"['hypocrisy', 'overreaction', 'double standards', 'chaos', 'inconsistency']"
and I took that personally,General Public,Relatable,"['offense', 'retaliation', 'grudge', 'revenge', 'determination']"
And Just Like That,Millennials,Wholesome,"['transformation', 'change', 'sudden', 'surprise', 'realization']"
Angela scared Dwight,Young Adults,Witty,"['surprise', 'fear', 'prank', 'shock', 'reaction']"
Angry Baby,Parents,Relatable,"['anger', 'infant', 'frustration', 'tantrum', 'cute']"
angry flower,Gen Z,Absurd,"['anger', 'nature', 'unexpected', 'conflict', 'bizarre']"
Angry lady cat,General Public,Relatable,"['argument', 'conflict', 'disagreement', 'tension', 'pets']"
Angry Man pointing at hand,General Public,Sarcastic,"['blame', 'accusation', 'anger', 'confrontation', 'pointing']"
Angry penguin,General Public,Absurd,"['anger', 'animals', 'cute', 'frustration', 'unexpected']"
ANIME BUTTERFLY MEME,Gen Z,Witty,"['misunderstanding', 'confusion', 'illusion', 'misidentification', 'questioning']"
Anime girl buying,Gen Z,Relatable,"['shopping', 'excitement', 'anticipation', 'consumption', 'anime']"
Anime Girl Hiding from Terminator,Gen Z,Absurd,"['fear', 'hiding', 'danger', 'suspense', 'anime']"
Anthony Adams Rubbing Hands,Young Adults,Sarcastic,"['anticipation', 'excitement', 'preparation', 'scheming', 'eagerness']"
Apu takes bullet,General Public,Sarcastic,"['sacrifice', 'bravery', 'protector', 'danger', 'heroic']"
Aragorn Black Gate for Frodo,General Public,Witty,"['Lord of the Rings', 'speech', 'inspiration', 'commitment', 'courage']"
Are they in the room with us right now,Young Adults,Absurd,"['suspicion', 'paranoia', 'invisibility', 'surprise', 'mystery']"
Are we the baddies,General Public,Sarcastic,"['realization', 'evil', 'self-awareness', 'irony', 'confusion']"
Are ya winning son,Gamers,Relatable,"['gaming', 'parent-child relationship', 'misunderstanding', 'generational gap', 'question']"
Army clown,General Public,Absurd,"['military', 'clown', 'paradox', 'nonsense', 'juxtaposition']"
